bird_id,random_effect,full_slope,predictor
14542B,-1.0588966943956672,-1.3860349134401564,ndvi
14542D,0.29538441855752556,-0.031753800486963635,ndvi
14542F,0.2814138169895083,-0.045724402054980906,ndvi
14544F,-0.5005398878512304,-0.8276781068957195,ndvi
14545C,0.054407875234198926,-0.27273034381029027,ndvi
14545E,-0.5539812289331321,-0.8811194479776212,ndvi
14545G,-0.11398908727688752,-0.4411273063213767,ndvi
14545J,0.49943408503564357,0.17229586599115437,ndvi
14546B,0.024066295808889037,-0.30307192323560017,ndvi
14546D,-0.15417677545051142,-0.4813149944950006,ndvi
14546G,-0.22031450180468365,-0.5474527208491728,ndvi
14548C,1.7230360957287785,1.3958978766842893,ndvi
14549A,-0.12666767908087256,-0.45380589812536176,ndvi
14549D,0.3731866775099019,0.04604845846541272,ndvi
14549F,0.9095032544079189,0.5823650353634298,ndvi
14549I,1.3323670777838141,1.005228858739325,ndvi
14550D,-0.926548084806102,-1.2536863038505912,ndvi
14554C,0.3977970571397822,0.070658838095293,ndvi
14554E,0.09423271878558544,-0.23290550025890377,ndvi
14558B,0.6008422041612153,0.27370398511672606,ndvi
16993C,0.37548996101377047,0.04835174196928127,ndvi
16993D,-0.7530404475395732,-1.0801786665840625,ndvi
20523B,-0.8369024623557768,-1.164040681400266,ndvi
20525B,-0.4829923114920866,-0.8101305305365758,ndvi
20525D,-0.41007334481283414,-0.7372115638573233,ndvi
20526B,-0.7873718099531797,-1.1145100289976688,ndvi
20527A,1.19762295096649,0.8704847319220008,ndvi
20527C,-0.27742178112405114,-0.6045600001685403,ndvi
27186B,0.3703109638316667,0.043172744787177475,ndvi
27187B,-0.2150489692091527,-0.5421871882536419,ndvi
27234B,-0.3939781226784247,-0.7211163417229138,ndvi
8883D,-0.4145256279273633,-0.7416638469718525,ndvi
917990861,-0.30262663626316394,-0.6297648553076531,ndvi
14542B,0.15035833985302358,0.3612934260607284,ED_scaled
14542D,-0.011501413664437379,0.19943367254326744,ED_scaled
14542F,-0.06891921790586296,0.14201586830184187,ED_scaled
14544F,-0.1817365764933716,0.029198509714333215,ED_scaled
14545C,-0.07206289220450446,0.13887219400320036,ED_scaled
14545E,0.19524741794623088,0.4061825041539357,ED_scaled
14545G,-0.0861896117915965,0.12474547441610832,ED_scaled
14545J,-0.004708654056246421,0.2062264321514584,ED_scaled
14546B,-0.06618280359420244,0.14475228261350237,ED_scaled
14546D,0.01921529348267374,0.23015037969037855,ED_scaled
14546G,0.033995020179636674,0.2449301063873415,ED_scaled
14548C,0.15781541430472706,0.36875050051243186,ED_scaled
14549A,-0.033531613800589395,0.17740347240711543,ED_scaled
14549D,0.01314781446629064,0.22408290067399547,ED_scaled
14549F,0.2449544058288654,0.45588949203657025,ED_scaled
14549I,-0.057984582656965704,0.1529505035507391,ED_scaled
14550D,0.022240000586984804,0.23317508679468962,ED_scaled
14554C,-0.12910658336014025,0.08182850284756457,ED_scaled
14554E,1.3778636206052353e-4,0.21107287256976534,ED_scaled
14558B,-0.33315133786970924,-0.12221625166200442,ED_scaled
16993C,-0.024706145588456838,0.186228940619248,ED_scaled
16993D,-0.1589944877708594,0.051940598436845425,ED_scaled
20523B,0.010388742628464325,0.22132382883616913,ED_scaled
20525B,-0.0977647491542383,0.11317033705346652,ED_scaled
20525D,-0.004634679528653399,0.20630040667905142,ED_scaled
20526B,-0.038695210308583895,0.17223987589912093,ED_scaled
20527A,0.05434174627798904,0.26527683248569384,ED_scaled
20527C,0.17184508111664137,0.38278016732434617,ED_scaled
27186B,-0.04197843524820248,0.16895665095950235,ED_scaled
27187B,-0.013109520435732372,0.19782556577197244,ED_scaled
27234B,-0.10559408348815498,0.10534100271954984,ED_scaled
8883D,0.02005295506557611,0.23098804127328093,ED_scaled
917990861,0.43681258082134083,0.6477476670290456,ED_scaled
